iter	Passed	Remaining
565	121059	92826
566	121298	92631
567	121530	92431
568	121728	92205
569	121910	91967
570	122096	91732
571	122304	91514
572	122523	91304
573	122898	91210
574	123156	91028
575	123389	90828
576	123592	90605
577	123834	90411
578	124007	90167
579	124200	89938
580	124425	89731
581	124667	89537
582	124850	89301
583	125030	89062
584	125248	88851
585	125462	88637
586	125653	88407
587	125886	88206
588	126080	87978
589	126253	87735
590	126467	87521
591	126691	87314
592	126885	87086
593	127082	86860
594	127288	86641
595	127490	86419
596	127731	86224
597	127945	86010
598	128135	85780
599	128330	85553
600	128558	85349
601	128778	85139
602	129020	84943
603	129244	84736
604	129442	84512
605	129629	84280
606	129830	84058
607	130030	83835
608	130270	83638
609	130509	83440
610	130715	83221
611	130924	83004
612	131115	82775
613	131331	82563
614	131517	82332
615	131767	82140
616	131971	81920
617	132197	81714
618	132385	81484
619	132624	81285
620	132853	81081
621	133023	80840
622	133230	80622
623	133429	80399
624	133657	80194
625	133839	79961
626	134032	79735
627	134210	79500
628	134415	79281
629	134630	79068
630	134826	78844
631	135022	78620
632	135218	78397
633	135435	78185
634	135660	77978
635	135853	77752
636	136058	77534
637	136249	77307
638	136489	77109
639	136683	76884
640	136882	76662
641	137070	76434
642	137327	76245
643	137571	76048
644	137782	75833
645	137982	75612
646	138201	75402
647	138382	75170
648	138595	74957
649	138792	74734
650	139052	74545
651	139226	74311
652	139445	74100
653	139672	73893
654	139916	73696
655	140100	73467
656	140354	73275
657	140647	73102
658	140923	72920
659	141135	72706
660	141353	72494
661	141540	72266
662	141733	72042
663	141909	71809
664	142089	71579
665	142298	71362
666	142476	71131
667	142730	70938
668	142990	70746
669	143200	70531
670	143403	70312
671	143613	70097
672	143799	69870
673	144013	69656
674	144204	69431
675	144392	69206
676	144581	68980
677	144831	68784
678	145040	68568
679	145237	68347
680	145523	68167
681	145753	67961
682	145951	67740
683	146224	67554
684	146538	67386
685	146761	67176
686	146940	66946
687	147121	66718
688	147333	66503
689	147530	66281
690	147732	66062
691	147903	65829
692	148096	65607
693	148299	65388
694	148516	65176
695	148704	64951
696	148907	64732
697	149114	64516
698	149329	64303
699	149526	64082
700	149795	63892
701	150009	63679
702	150206	63458
703	150406	63238
704	150647	63036
705	150855	62820
706	151079	62611
707	151274	62389
708	151467	62167
709	151706	61964
710	151903	61744
711	152091	61520
712	152285	61298
713	152472	61074
714	152658	60849
715	152849	60627
716	153081	60421
717	153249	60189
718	153455	59973
719	153634	59746
720	153810	59518
721	154014	59302
722	154187	59073
723	154386	58854
724	154576	58632
725	154781	58416
726	154979	58197
727	155192	57983
728	155412	57773
729	155623	57559
730	155820	57340
731	156029	57125
732	156207	56899
733	156387	56674
734	156650	56479
735	156866	56267
736	157087	56056
737	157290	55840
738	157496	55624
739	157744	55423
740	158010	55228
741	158227	55017
742	158448	54806
743	158709	54609
744	159124	54465
745	159450	54290
746	159654	54072
747	159861	53857
748	160063	53639
749	160268	53422
750	160462	53202
751	160661	52984
752	160837	52758
753	161046	52543
754	161249	52325
755	161443	52106
756	161642	51888
757	161824	51664
758	162009	51441
759	162222	51228
760	162431	51013
761	162613	50789
762	162808	50570
763	163006	50352
764	163227	50141
765	163431	49925
766	163628	49707
767	163821	49487
768	164006	49265
769	164177	49040
770	164384	48824
771	164558	48600
772	164771	48386
773	164976	48171
774	165172	47953
775	165368	47735
776	165541	47510
777	165724	47288
778	165906	47067
779	166074	46841
780	166300	46632
781	166505	46417
782	166673	46191
783	166883	45977
784	167097	45765
785	167288	45546
786	167486	45329
787	167691	45114
788	167905	44902
789	168120	44690
790	168330	44476
791	168523	44258
792	168697	44035
793	168921	43825
794	169101	43604
795	169298	43388
796	169516	43176
797	169703	42957
798	169900	42741
799	170125	42531
800	170320	42314
801	170532	42101
802	170725	41883
803	170930	41669
804	171128	41453
805	171389	41252
806	171671	41056
807	171885	40844
808	172091	40629
809	172301	40416
810	172482	40196
811	172681	39980
812	172926	39775
813	173124	39559
814	173397	39360
815	173581	39140
816	173840	38938
817	174051	38725
818	174253	38510
819	174488	38302
820	174689	38086
821	174881	37869
822	175057	37649
823	175253	37432
824	175483	37223
825	175732	37018
826	175898	36796
827	176099	36581
828	176267	36359
829	176517	36154
830	176690	35933
831	176919	35724
832	177104	35505
833	177317	35293
834	177506	35076
835	177755	34870
836	177958	34656
837	178160	34441
838	178398	34233
839	178596	34018
840	178785	33801
841	179041	33596
842	179272	33387
843	179487	33175
844	179677	32958
845	179888	32745
846	180088	32530
847	180276	32313
848	180464	32096
849	180640	31877
850	180904	31674
851	181084	31456
852	181270	31238
853	181461	31022
854	181669	30809
855	181858	30593
856	182048	30376
857	182228	30159
858	182424	29943
859	182627	29730
860	182876	29523
861	183068	29307
862	183239	29088
863	183422	28872
864	183628	28658
865	183835	28445
866	184022	28229
867	184208	28013
868	184401	27798
869	184581	27581
870	184815	27372
871	185009	27157
872	185234	26947
873	185480	26739
874	185680	26525
875	185880	26311
876	186083	26098
877	186312	25888
878	186495	25672
879	186671	25455
880	186869	25241
881	187080	25028
882	187284	24815
883	187484	24602
884	187702	24390
885	187878	24173
886	188082	23960
887	188261	23744
888	188436	23528
889	188629	23313
890	188853	23103
891	189066	22891
892	189252	22676
893	189444	22462
894	189663	22251
895	189999	22053
896	190314	21853
897	190528	21641
898	190750	21430
899	190933	21214
900	191163	21004
901	191340	20788
902	191531	20574
903	191748	20362
904	191959	20150
905	192155	19936
906	192324	19720
907	192552	19509
908	192755	19296
909	192965	19084
910	193175	18872
911	193369	18658
912	193565	18444
913	193757	18231
914	193971	18019
915	194179	17806
916	194346	17590
917	194576	17380
918	194770	17166
919	195018	16958
920	195219	16745
921	195418	16532
922	195619	16319
923	195842	16108
924	196036	15894
925	196257	15683
926	196472	15471
927	196671	15259
928	196887	15047
929	197091	14834
930	197300	14622
931	197480	14408
932	197667	14194
933	197852	13980
934	198055	13768
935	198248	13555
936	198413	13340
937	198574	13125
938	198795	12914
939	199004	12702
940	199187	12488
941	199376	12275
942	199558	12062
943	199777	11851
944	199980	11639
945	200218	11428
946	200380	11214
947	200575	11002
948	200919	10797
949	201194	10589
950	201375	10375
951	201591	10164
952	201805	9952
953	202024	9741
954	202208	9528
955	202452	9317
956	202645	9105
957	202865	8893
958	203068	8681
959	203258	8469
960	203444	8256
961	203695	8046
962	203918	7834
963	204123	7622
964	204331	7410
965	204532	7198
966	204740	6986
967	204945	6775
968	205139	6562
969	205329	6350
970	205514	6137
971	205756	5927
972	205973	5715
973	206143	5502
974	206307	5289
975	206477	5077
976	206705	4866
977	206897	4654
978	207106	4442
979	207318	4230
980	207502	4018
981	207710	3807
982	207924	3595
983	208121	3384
984	208372	3173
985	208580	2961
986	208770	2749
987	208994	2538
988	209191	2326
989	209380	2114
990	209591	1903
991	209789	1691
992	210091	1481
993	210312	1269
994	210488	1057
995	210686	846
996	210878	634
997	211108	423
998	211321	211
999	211525	0
